Coverage,Date,Description,Rarity,Sense of the Modern,Source,Title,added,collection_id,collection_resource,collection_url,extended_resources_exhibit_pages,featured,files_count,files_resource,files_url,id,item_type_id,item_type_name,item_type_resource,item_type_url,modified,owner_id,owner_resource,owner_url,public,tags,url
"||||osm
Parkesburg",1875,"The custom of stopping at taverns along the road, common when traveling by stagecoach, was carried on by train engineers. Locating engineering and repair shops in Parkesburg would avoid the effects of that practice on the labor process.. Locating the shops at the ends of the line ""would have an unavoidable tendency to unsettle the hands and render them irregular in the performance of their duties...the evil did not exist in any degree at such a small remote place as Parkesburg...""",2,4,"Edwin P. Alexander, On the main line; the Pennsylvania Railroad in the 19th century (New York: C.N. Potter, distributed by Crown Publishers, 1971), 40, as compiled by Bennett Smith",Trembling Hands of Engineers,2014-09-25T18:17:16+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=87,87,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-11-20T15:57:09+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"discord, labor, Lancaster Avenue Arcades, transportation",http://ds.haverford.edu/lancasterproject/api/items/87
"||||osm
Wayne, Strafford","1876, 1880s","""The Strafford station, three stops down the line [from Paoli] is the Japanese Pavilion from the Philadelphia Centennial Exposition in 1876. It really is! Nobody but an old P.R.R. retainer would believe it, I know, but it's true."" ""...at the 1876 Centennial Exhibition held in Fairmount Park...it was likely used as a catalog sales shed. It was purchased by the Pennsylvania Railroad and moved to the Wayne station. In the late 1880s, it was moved for the last time to Strafford, where it remains today.""",8,4,"Tenbroeck, Molly A. We scrapples: Philadelphia's Main Line as it really was! (Denver: Outskirts Press, 2007), 21; Laura E. Beardsley, Historic photos of the Main Line (Nashville, Tenn: Turner Pub. Co., 2008), 185, as compiled by Bennett Smith.",Centennial Expo Japanese Pavilian,2014-09-25T18:23:03+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=88,88,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-11-20T15:57:09+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"decoration, discord, Lancaster Avenue Arcades, repurpose, transportation",http://ds.haverford.edu/lancasterproject/api/items/88
"||||osm
32nd and Lancaster Avenue",1884,"""On September 2nd, the International Electrical Exhibition opens in Philadelphia, located in a new structure near the Powelton Station.""",3,4,"""A Dazzling Exhibition/A splendid display of electrical inventions,"" The New York Times, September 3, 1884, 1, as compiled by Bennett Smith.",International Electrical Exhibition,2014-09-25T18:27:10+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=89,89,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T00:32:43+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"electricity, fashion and novelty, Lancaster Avenue Arcades, novelty, transportation",http://ds.haverford.edu/lancasterproject/api/items/89
"POINT(-8373033.8987065 4861779.9452869)|3|0.0000000|0.0000000|osm
47th Street and Lancaster Avenue",1884,"A hickory log erected at Lancaster and 47th St. for the purpose of displaying a banner supporting Grover Cleveland sprouts a plant six inches long, which the  banner-hangers take as an ""auspicious omen.""",5,4,"""Life in a Cleveland Pole,"" The New York Times, October 12, 1884, 5, as compiled by Bennett Smith.",Political Omen,2014-09-25T18:29:22+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=90,90,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-12-03T20:08:39+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"advertisement, Lancaster Avenue Arcades, nature, nature/vacuum, politics, prophecy, wood",http://ds.haverford.edu/lancasterproject/api/items/90
"|3|0.0000000|0.0000000|osm
Devon, Devon Inn",1884,"A ""man-made lake"" at the Devon Inn. ""Records indicate that Dr. Thomas, who was a frequent guest at the inn, stocked the lake with carp when it was built around 1884....In winter ice was cut and stored until the following summer season. For fire protection, the sprinkler system's water was pumped from the lake and store in the inn's cupola.""",6,3,"Margaret DePiano and Stephen DiAddezio, A pictorial history showing over 475 images: Devon Chester County, Pennsylvania ( Berwyn, Pa: Margaret DePiano and Stephen DiAddezio, 2007), 43, as compiled by Bennett Smith.",Domesticated Elements,2014-09-25T18:33:31+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=91,91,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-12-03T16:23:02+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"aesthetic, Animals, decoration, fire, inns, Lancaster Avenue Arcades, nature, nature/vacuum, technology, water",http://ds.haverford.edu/lancasterproject/api/items/91
"||||osm
Ardmore",1897-1900,Autocar automobile company formed in Ardmore.,2,3,"Lower Merion Historical Society, The First 300 (Ardmore: Lower Merion Historical Society, 2000), 82, as compiled by Bennett Smith.",Autocar,2014-09-25T18:36:14+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=92,92,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-11-20T15:57:09+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"automobile, Lancaster Avenue Arcades, suburbs, transportation",http://ds.haverford.edu/lancasterproject/api/items/92
"||||osm
Devon, Devon Inn",1902,"""One early morning in 1902, the inn's entire service staff, excluding the chef, went on strike. With tarnished pride and ravenous appetites, the elite guests had no choice but to enter the kitchen and serve themselves...By noon, the day continued as though the service to the guests was never interrupted.""",6,3,"Margaret DePiano and Stephen DiAddezio, A pictorial history showing over 475 images: Devon Chester County, Pennsylvania ( Berwyn, Pa: Margaret DePiano and Stephen DiAddezio, 2007), 43, as compiled by Bennett Smith.",Dining Strike,2014-09-25T18:39:20+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=93,93,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-11-20T15:57:09+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"class, food, inns, isolation, labor, Lancaster Avenue Arcades, moment, strike",http://ds.haverford.edu/lancasterproject/api/items/93
"||||osm
Lancaster Avenue",1834,"Thanks to the use of wood, with its smoke, to fuel the locomotives, ""the cars with the facilities for passengers sitting on the roof had to be replaced.""",5,1,"George L. J. Langdon, Philadelphia's Main Line district. Thesis (M.S.), Pennsylvania State College, 1947, as compiled by Bennett Smith.",Train-Top Sitting Ends,2014-09-26T16:47:56+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=94,94,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:23:02+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"end of an era, fire, Lancaster Avenue Arcades, train, transportation, wood",http://ds.haverford.edu/lancasterproject/api/items/94
"||||osm
Paoli",1903,"""Farther out the pike are the two monuments that commemorate the Paoli Massacre of September 20, 1777. The old monument is small and chipped. Relic-hunters have hacked off much of it in their insatiate desire for souvenirs. But the new monument is tall and perfect, for an iron fence protects it from the relic-hunters.:",3,4,"M. Laffitte Vieira, West Philadelphia Illustrated: Early History of West Philadelphia and its Environs; Its People and Its Historical Points (Philadelphia: Avil Printing Company, 1903), 79.",Relic-hunters,2014-09-26T16:53:41+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=95,95,18,Person,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/18,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"Lancaster Avenue Arcades, monument, technology, theft",http://ds.haverford.edu/lancasterproject/api/items/95
"||||osm
Coatesville",1911,"""During the first week in August 1911, an itinerant Negro minister preached a religious revival at the Tabernacle Baptist Church in Coatesville, Pennsylvania. His name was Prophet Andrew Jones...and nothing is known of him except this: he claimed that God had ordained him with the gift to foretell the future...Now, in the closing moments of his week-long crusade, the evangelist said he had a special message for the black citizens of Coatesville. A 'great misfortune was about to fall on the town,' he predicted, and in this time of crisis they would do well to remember that the meek shall inhabit the earth...Little more than a week later, on a warm Sunday evening, a black man named Zachariah Walker was put to death in Coatesville, burned alive as a large crowd looked on, fascinated by the spectacle.""",6,3,"Dennis B. Downey  and Raymond M. Hyser, ""A crooked death"": Coatesville, Pennsylvania and the lynching of Zachariah Walker (1970)",Coatesville Prophecy,2014-09-26T17:02:47+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=96,96,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:23:02+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"Crime, death, eerie, execution, fire, Lancaster Avenue Arcades, prophecy, race, racism, religion, sensationalism, spectacle, violence",http://ds.haverford.edu/lancasterproject/api/items/96
"||||osm
Devon, Devon Horse Shows",1915,"""The only way for a lady to ride in early [Devon Horse Shows] was sidesaddle. Around 1915, some lady riders made a controversial move towards riding cross saddle (astride). Needless to say, the judges disallowed the move until years later..."" ...It could be a thread in a much larger fabric that constitutes a history of repression/oppression...",3,3,"Margaret DePiano and Stephen DiAddezio, A pictorial history showing over 475 images: Devon Chester County, Pennsylvania ( Berwyn, Pa: Margaret DePiano and Stephen DiAddezio, 2007), 43, as compiled by Bennett Smith.",Devon Ladies Begin Riding Cross Saddle,2014-09-26T17:07:41+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=97,97,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"Animals, Lancaster Avenue Arcades, social norms, subversion",http://ds.haverford.edu/lancasterproject/api/items/97
"POINT(-8381846.8492009 4867554.3372931)|15|-8381931.646529|4867181.8187486|osm
Lancaster, at RCA and McCaskey High School, southeast of New Holland Avenue",1919,"""Lancaster's worst train wreck happened on the foggy morning of November 17...At a railway intersection southeast of New Holland Avenue, the Buffalo Flyer passenger train sideswiped a freight train hauling frozen meat products...'The Kidney Wreck,' as it is now known, spilled frozen meat across the nearby fields, providing a feast for neighborhood dogs for several days.""",9,4,"Lancaster County Historical Society (Pa.), Cars, trains, buggies & planes: transportation in Lancaster County, Pennsylvania (Lancaster, Pa: Lancaster County Historical Society, 2005), 33, as compiled by Bennett Smith.",The Kidney Wreck,2014-09-26T17:11:58+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=98,98,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:10:31+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"accident, corpses, death, discord, Lancaster Avenue Arcades, transportation",http://ds.haverford.edu/lancasterproject/api/items/98
"POLYGON((-8376487.8969217 4863839.3409634,-8376547.61335 4863739.0173637,-8375374.7826974 4863196.7921944,-8375341.3414975 4863275.6178798,-8375341.3414975 4863280.3951941,-8375346.1188118 4863280.3951941,-8376487.8969217 4863839.3409634))|15|-8376012.554152|4863454.767165|osm
Lancaster Avenue, 58th to 63 Streets, Philadelphia",1922,"""For several years Lancaster Avenue or the 'Pike,' between Fifty-eighth and Sixty-third Streets, has been closed to traffic. The original roadbed beyond Fifty-eighth Street curved to the right, passed under the Pennsylvania Railroad and wound around through Overbrook to Sixty-third Street. The roadbed was straightened and its course altered in order to make a direct route from Fifty-eighth Street to Sixty-third Street. This newly made portion of the road was completed December 5, 1922."" The opening ceremonies included ""formal exercises and...fireworks display...A floral gate, patterned somewhat after the tollgates used when the Lancaster Turnpike Company owned the road, will be erected at this point and will be opened to symbolize the opening of the road...""",2,2,"Dora Harvey Develin, Historic Lower Merion and Blockley (1927); ""Reopen Lancaster Pike with big celebration/
Section which has been closed for years will be put into service,"" The Record, December 3, 1922, as compiled by Bennett Smith.",Straightjacketing the Winding Road,2014-09-26T17:18:27+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=99,99,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:23:02+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"construction, explosion, fire, Lancaster Avenue Arcades, nature, nature/vacuum, transportation",http://ds.haverford.edu/lancasterproject/api/items/99
"||||osm
Outside Paoli",1923,"A ""P.R.R. Labor Camp"" ""whose duty it is to keep the Pennsylvania Railroad right of way in order.:

""Here, in huts which have been the homes of such men for about two years, and from which they recently were routed for a time by fire, are men who have 'tramped on life' in all manner of strange ways and in strange places. Mexicans, with a predominant Indian strain, are in the majority. But no racial line is drawn, and the itinerant wanderer, who works when he has to, finds a job here, no matter be he Hindoo, strayed coolie, foot-loose Russian, or 'down-and-outer"" from Singapore to Paris. Their one common bond, their bosses say with more indignation than relish for the romance of it, is a strong distaste for any more work than is just necessary to keep soul and body on speaking terms.""",7,5,"""P.R.R. Labor Camp Real Melting Pot,"" The Evening Bulletin, November 19, 1923",Cosmopolitan Paoli Labor Camp,2014-09-26T17:23:58+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=100,100,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-12-03T16:23:02+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"cosmopolitanism, fire, labor, Lancaster Avenue Arcades",http://ds.haverford.edu/lancasterproject/api/items/100
"||||osm
Lancaster Avenue, Various Locations",1929,"""As a guide to cross-country aviators and those who veer off the regular airways, the Pennsylvania Railroad is marking a large number of strategically located stations and transportation buildings...with ten-foot letters, painted in orange on a black background."" Towns selected for marking include Lancaster.",3,4,"""Mark Towns for Fliers/Pennsy Will Put Names in 10-Foot Letters to Guide Aviators,"" The Evening Bulletin, May 21, 1929, as compiled by Bennett Smith.",Train Signs for Aviators,2014-09-26T17:24:59+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=101,101,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"architecture, Lancaster Avenue Arcades, reading, transportation",http://ds.haverford.edu/lancasterproject/api/items/101
"||||osm
Salisbury Township, behind Spring Garden Hotel",1930s,"""Salisbury Township was created in 1729, however its geologic history goes back to the time when the Township area was an inland sea just beginning to form the limestone trap, the quartzite, diabase, granite and gneiss and shales that make up our rolling tableland between the Welsh Mountain and the Mine and Gap Hills. The 'Indian foot' rock that lay at the spring in the back of the Spring Garden Hotel where a tin cup was kept for anyone's refreshment turned out to be the footprint of a ceolerosaur, a three-toed dinosaur of the Jurassic Age. When Dr. Price, of the North Museum came out to investigate sometime in the early 1930s he was so excited that he stood on a chair and proclaimed, 'This is not an Indian foot; this is a dinaosaur footprint.'""",8,4," Joan M. Lorenz, A history of Salisbury Township, Lancaster County, Pennsylvania (Morgantown, PA: Masthof Press, 2006), 5, as compiled by Bennett Smith.",Dinosaur Footprint,2014-09-26T17:33:11+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=102,102,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-12-02T23:36:05+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"comfort, Lancaster Avenue Arcades, nature, nature/vacuum, surreal",http://ds.haverford.edu/lancasterproject/api/items/102
"||||osm
Downingtown",1942,"""On Saturday night, August 8, 1942, it rained heavily, and by Sunday morning the Brandywine Creek had overflowed into the low-lying sections of town...An hour later the alarm sounded for all firemen, auxiliary firemen, and all others to cope with the fast-rising flood waters that had reached 12.5 feet above flood stage, a height never before chronicled in the history of the borough.""",4,1," Jane L. S. Davidson, A history of Downingtown (Downingtown, Pa: Borough of Downingtown, 1982), 88, as compiled by Bennett Smith.",Highest Flood Waters in History,2014-09-26T17:37:20+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=103,103,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:23:02+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"destruction, fire, Lancaster Avenue Arcades, natural disasters, nature, nature/vacuum, water",http://ds.haverford.edu/lancasterproject/api/items/103
"POINT(-8386740.0133392 4870847.2877657)|15|-8386737.6246821|4870553.8561659|osm
Lancaster at Ithan Avenue",1948,"After "" a series of mass demonstrations,"" a traffic light was installed at Ithan Avenue and Lancaster. ""In all, students charged, 21 accidents occurred at the intersection in the past year."" A sort of terrifying, subjugated form of violence ended through mass demonstrations via the installation of a traffic light.",1,4,"""Traffic Light Installed For Villanova Students,"" The Philadelphia Evening Bulletin, December 5, 1948, as compiled by Bennett Smith.",Traffic Light,2014-09-26T17:42:42+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=104,104,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-11-24T18:50:22+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"end of an era, Lancaster Avenue Arcades, mobilization, transportation",http://ds.haverford.edu/lancasterproject/api/items/104
"||||osm
Main Line",1950,"""In a bedroom opened for hats and coats someone set off a three-inch aerial bomb. It had blasted against the ceiling leaving a burn and smudge mark. The explosion had gone unheard amid the din of popping balloons. Photographic flashlight bulbs and glasses were smashed against upstairs walls. His son's bank had been chiseled open; the $2 it contained stolen...Holes had been punched in the sheetrock wall of a laundry, apparently by blows of a fist. It was not until the laundress came the following Monday that it was discovered that the electric iron was stolen.""",4,3,"Frederick A. McCord, ""Rowdy Teen-Agers Crash Main Line Parties, Damage homes, Steal Money and Valuables,"" The Sunday Bulletin, April 16, 1950.","Bomb at Party, Electric Iron Stolen",2014-09-26T17:46:41+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=105,105,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:23:02+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"Crime, discord, electricity, explosion, fire, Lancaster Avenue Arcades, leisure, theft, water",http://ds.haverford.edu/lancasterproject/api/items/105
"|3|0.0000000|0.0000000|osm
Exton, Ardmore",1953,"White Motor Company purchases Autocar and moves to a facility in Exton. In 1956 the vacant factory was being torn down when it caught fire and required ""33 firetrucks, 300 firefighters and over 6 million gallons of water to put out.""",2,2,"Lower Merion Historical Society, The First 300 (Ardmore: Lower Merion Historical Society, 2000), 84, as compiled by Bennett Smith.","Autocar Moves, Ardmore Factory Catches Fire",2014-09-26T17:48:36+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=106,106,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:23:02+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"automobile, discord, end of an era, fire, industry, Lancaster Avenue Arcades, technology, transportation",http://ds.haverford.edu/lancasterproject/api/items/106
"||||osm
Treddyfrin township, along Swedesford Rd., north of Lancaster",1954,Nike missile site built over local objections.,3,2,"Mike Bertram, The history of Tredyffrin Township, 1707-2007 ([S.l.]: Tredyffrin Easttown Historical Society, 2007), 69, as compiled by Bennett Smith.",Nike Missile Site,2014-09-26T17:53:06+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=107,107,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"discord, Lancaster Avenue Arcades, speed, technology, transportation, violence",http://ds.haverford.edu/lancasterproject/api/items/107
"||||osm
Paoli, Treddyfrin Township",1954,"The Burroughs Paoli Research Laboratory. :For the U.S. Army it developed radar listening stations and control center communications systems. For the U.S. Air Force it developed ground guidance systems for missiles and for the Atlas rockets launched at Cape Canaveral.""",1,1,"Mike Bertram, The history of Tredyffrin Township, 1707-2007 ([S.l.]: Tredyffrin Easttown Historical Society, 2007), 74, as compiled by Bennett Smith.",Guiding Rockets,2014-09-26T20:01:33+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=108,108,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,Lancaster Avenue Arcades,http://ds.haverford.edu/lancasterproject/api/items/108
"||||osm
Lancaster Avenue",1958,"""Hard times are hitting the Lancaster avenue taprooms...One was raided (for sales to minors); another is on the verge of folding (despite the new and shapely management); and a third is in danger of losing the chief personality who made the spot the most popular in the area.""",1,1,"Art Peter, ""Off the Main Stem,"" The Philadelphia Tribune, August 30, 1958, 11.",Taprooms Under Threat,2014-09-26T20:04:30+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=109,109,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"danger, end of an era, fad, Lancaster Avenue Arcades, popularity, threats",http://ds.haverford.edu/lancasterproject/api/items/109
"||||osm
Mill Creek, Markoe Street",1961,Louis Kahn design a housing project in Mill Creek.,3,3,"Irene E. Ayad, ""Louis I. Kahn and Neighborhood Design: The Mill Creek Redevelopment Area Plan, 1951-1954,"" PhD Diss., Cornell University, 1995, as compiled by Bennett Smith.",Louis Kahn in Mill Creek,2014-09-26T20:09:42+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=110,110,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,Lancaster Avenue Arcades,http://ds.haverford.edu/lancasterproject/api/items/110
"||||osm
Coatesville",None,A Carver Court in Coatesville...was another Kahn housing project.,6,4,"Irene E. Ayad, ""Louis I. Kahn and Neighborhood Design: The Mill Creek Redevelopment Area Plan, 1951-1954,"" PhD Diss., Cornell University, 1995, as compiled by Bennett Smith.",Louis Kahn in Coatesville.,2014-09-26T20:11:57+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=111,111,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,Lancaster Avenue Arcades,http://ds.haverford.edu/lancasterproject/api/items/111
"||||osm
Main Line",1967,A new program sponsored by the Main Line Chamber of Commerce will institute wooden nickels...to pay for parking (in place of actual money).,3,2,"""Wooden Nickels to be Used for Main Line Parking,"" The Sunday Bulletin, January 29, 1967, as compiled by Bennett Smith.",Wooden Nickels,2014-09-26T20:15:15+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=112,112,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"currency, Lancaster Avenue Arcades, money, parking, transportation, wood",http://ds.haverford.edu/lancasterproject/api/items/112
"||||osm
Malvern Garage, Treddyfrin Township",1968,"A Malvern garage is a $100,000 LSD factory.",4,3,"Charles Montgomery, ""Police Combining to Seek Answer to Narcotics Problem,"" The Sunday Bulletin, March 31, 1968, as compiled by Bennett Smith.",LSD Factory,2014-09-26T20:17:33+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=113,113,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"discord, drug bust, Drugs, Lancaster Avenue Arcades, money, police, transportation",http://ds.haverford.edu/lancasterproject/api/items/113
"||||osm
Devon",1967,"""Children as young as 13 sniffing glue,"" 25 arrests near the Devon Horse Show grounds...",7,4,"Fred R. Zepp, ""Police Face their Share of Crime, and Some Unique Problems, Too,"" The Evening Bulletin, November 20, 1967, as compiled by Bennett Smith.",Sniffing Glue,2014-09-26T20:19:44+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=114,114,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T00:08:33+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"addiction, childhood, Drugs, idleness and pleasurable looking, Lancaster Avenue Arcades, leisure, police, youth",http://ds.haverford.edu/lancasterproject/api/items/114
"||||osm
Main Line",1967,Philadelphia car thieves using the new turnpike to travel to the far reaches of the Main Line to steal cars.,6,3,"Fred R. Zepp, ""Police Face their Share of Crime, and Some Unique Problems, Too,"" The Evening Bulletin, November 20, 1967, as compiled by Bennett Smith.",Stealing Cars Over Greater Distances,2014-09-26T20:21:37+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=115,115,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"end of an era, Lancaster Avenue Arcades, theft, transportation",http://ds.haverford.edu/lancasterproject/api/items/115
"||||osm
Wynnefield",1978,"On the night of May 23rd, 1978 a cross was burned in the driveway of Eleanor Richardson, who ""was the first black person to move into a predominantly white part of the Wynnefield section of Philadelphia.""",6,3,"""New Neighbor Terrorized, Black Nurse Braves Rocks, Cross Burning,"" The Evening Bulletin, May 24, 1978, as compiled by Bennett Smith.",1978 Cross Burning,2014-09-26T20:24:34+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=116,116,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:23:02+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"discord, fear, fire, Lancaster Avenue Arcades, race, racism, religion, violence, wood",http://ds.haverford.edu/lancasterproject/api/items/116
"||||osm
Near Lancaster",1988,"""The train never leaves on time, never waits for anyone, and in a few magical seconds lifts its riders out of the carnival environment of Route 30 with its pfactory outlets and pfast pfood pfranchises. Route 30 is but a facade, a Potemkin highway; behind it the train chugs through a totally agricultural landscape, cattle on one side of the track, tallest corn on the other, windmills spinning only inches from a spurned power line.""",5,4,"Dan Behrman, ""Steaming Through Pennsylvania,"" The New York Times, May 8, 1988, 14, as compiled by Bennett Smith.",Route 30 as Potemkin Highway,2014-09-26T20:27:54+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=117,117,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-02T23:36:05+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"agriculture, borderlands, Commerce, Lancaster Avenue Arcades, landscape, magic, nature, nature/vacuum, technology, train, transportation",http://ds.haverford.edu/lancasterproject/api/items/117
"||||osm
Paoli Rail Yard",1990,"On August 30, 1990, the Paoli Rail Yard is added to the list of federal Superfund cite.",7,4,EPA website,Superfund Site,2014-09-26T20:29:18+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=118,118,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-11-20T15:57:08+00:00,4,users,http://ds.haverford.edu/lancasterproject/api/users/4,False,"end of an era, Lancaster Avenue Arcades, transportation",http://ds.haverford.edu/lancasterproject/api/items/118
